n_nodes,n_clusters,pure_nodes_number,seed,method,matrix,error,time
2000,3,3,3,SPOC,Theta,0.0530139026509,0.132100105286
2000,3,3,3,SPOC,B,0.124739667267,0.132100105286
2000,3,3,3,GeoNMF,Theta,0.0433344733687,48.2447149754
2000,3,3,3,GeoNMF,B,0.132817758006,48.2447149754
2000,3,3,4,SPOC_bootstrap,Theta,0.0435940150486,1.04805707932
2000,3,3,4,SPOC_bootstrap,B,0.0665002507492,1.04805707932
2000,3,3,4,SPOC,Theta,0.0502358357604,0.128571987152
2000,3,3,4,SPOC,B,0.106977031487,0.128571987152
2000,3,3,4,GeoNMF,Theta,0.0405826632348,48.2829458714
2000,3,3,4,GeoNMF,B,0.149577509089,48.2829458714
2500,3,3,0,SPOC_bootstrap,Theta,0.0375799862489,1.65153408051
2500,3,3,0,SPOC_bootstrap,B,0.0481217256854,1.65153408051
2500,3,3,0,SPOC,Theta,0.0472601147585,0.173202037811
2500,3,3,0,SPOC,B,0.103345787139,0.173202037811
2500,3,3,0,GeoNMF,Theta,0.036055194699,76.4995810986
2500,3,3,0,GeoNMF,B,0.13908179954,76.4995810986
2500,3,3,1,SPOC_bootstrap,Theta,0.048792513637,1.47309803963
2500,3,3,1,SPOC_bootstrap,B,0.0889329380004,1.47309803963
2500,3,3,1,SPOC,Theta,0.0648988204127,0.175379037857
2500,3,3,1,SPOC,B,0.158036950611,0.175379037857
2500,3,3,1,GeoNMF,Theta,0.0454029804849,75.7920320034
2500,3,3,1,GeoNMF,B,0.0593099887425,75.7920320034
2500,3,3,2,SPOC_bootstrap,Theta,0.0435059718373,1.51845288277
2500,3,3,2,SPOC_bootstrap,B,0.048780590587,1.51845288277
2500,3,3,2,SPOC,Theta,0.0530970321635,0.176155805588
2500,3,3,2,SPOC,B,0.111730164344,0.176155805588
2500,3,3,2,GeoNMF,Theta,0.0379081276756,76.5029389858
2500,3,3,2,GeoNMF,B,0.115912722007,76.5029389858
2500,3,3,3,SPOC_bootstrap,Theta,0.0410024492086,3.01428198814
2500,3,3,3,SPOC_bootstrap,B,0.0665217723088,3.01428198814
2500,3,3,3,SPOC,Theta,0.0505298000079,0.185208082199
2500,3,3,3,SPOC,B,0.108258428269,0.185208082199
2500,3,3,3,GeoNMF,Theta,0.0430729923939,87.0208609104
