n_nodes,n_clusters,pure_nodes_number,eps,seed,method,matrix,error
1000,3,3,0.0,7,Geo_NMF,Theta,0.070291398583
1000,3,3,0.0,7,Geo_NMF,B,0.0968769255195
1000,3,3,0.0,7,basic_SPA,Theta,0.092540408309
1000,3,3,0.0,7,basic_SPA,B,0.241151029629
1000,3,3,0.0,7,bootstrap_SPA,Theta,0.0612450945165
1000,3,3,0.0,7,bootstrap_SPA,B,0.0946840747212
1000,3,3,0.0,8,Geo_NMF,Theta,0.0739967798035
1000,3,3,0.0,8,Geo_NMF,B,0.0411307360216
1000,3,3,0.0,8,basic_SPA,Theta,0.0973862795697
1000,3,3,0.0,8,basic_SPA,B,0.263630149526
1000,3,3,0.0,8,bootstrap_SPA,Theta,0.0680313056381
1000,3,3,0.0,8,bootstrap_SPA,B,0.0779299864904
1000,3,3,0.0,9,Geo_NMF,Theta,0.0678605330214
1000,3,3,0.0,9,Geo_NMF,B,0.0943315473952
1000,3,3,0.0,9,basic_SPA,Theta,0.0797080442886
1000,3,3,0.0,9,basic_SPA,B,0.151165903583
1000,3,3,0.0,9,bootstrap_SPA,Theta,0.0673882398282
1000,3,3,0.0,9,bootstrap_SPA,B,0.0979079199246
1000,3,3,0.05,0,Geo_NMF,Theta,0.100093390451
1000,3,3,0.05,0,Geo_NMF,B,0.154557164378
1000,3,3,0.05,0,basic_SPA,Theta,0.0861111508058
1000,3,3,0.05,0,basic_SPA,B,0.182244547405
1000,3,3,0.05,0,bootstrap_SPA,Theta,0.0739836411989
1000,3,3,0.05,0,bootstrap_SPA,B,0.116908715647
1000,3,3,0.05,1,Geo_NMF,Theta,0.0826809146263
1000,3,3,0.05,1,Geo_NMF,B,0.137357724362
1000,3,3,0.05,1,basic_SPA,Theta,0.108023924759
1000,3,3,0.05,1,basic_SPA,B,0.255551849616
1000,3,3,0.05,1,bootstrap_SPA,Theta,0.0734036020297
1000,3,3,0.05,1,bootstrap_SPA,B,0.0784366349527
1000,3,3,0.05,2,Geo_NMF,Theta,0.0734445376439
1000,3,3,0.05,2,Geo_NMF,B,0.153025507329
1000,3,3,0.05,2,basic_SPA,Theta,0.0971692953375
1000,3,3,0.05,2,basic_SPA,B,0.216290364809
1000,3,3,0.05,2,bootstrap_SPA,Theta,0.0726283851384
1000,3,3,0.05,2,bootstrap_SPA,B,0.0940472207046
1000,3,3,0.05,3,Geo_NMF,Theta,0.0797699694245
1000,3,3,0.05,3,Geo_NMF,B,0.142997205652
1000,3,3,0.05,3,basic_SPA,Theta,0.0964291641603
1000,3,3,0.05,3,basic_SPA,B,0.203117963634
1000,3,3,0.05,3,bootstrap_SPA,Theta,0.0748448373967
1000,3,3,0.05,3,bootstrap_SPA,B,0.106171522431
1000,3,3,0.05,4,Geo_NMF,Theta,0.079903644419
1000,3,3,0.05,4,Geo_NMF,B,0.146894767507
1000,3,3,0.05,4,basic_SPA,Theta,0.101243733452
1000,3,3,0.05,4,basic_SPA,B,0.20249890005
1000,3,3,0.05,4,bootstrap_SPA,Theta,0.0767126915787
1000,3,3,0.05,4,bootstrap_SPA,B,0.0896855471594
1000,3,3,0.05,5,Geo_NMF,Theta,0.0831511755455
1000,3,3,0.05,5,Geo_NMF,B,0.144268682867
1000,3,3,0.05,5,basic_SPA,Theta,0.0958832519732
1000,3,3,0.05,5,basic_SPA,B,0.154392292579
1000,3,3,0.05,5,bootstrap_SPA,Theta,0.074108439901
1000,3,3,0.05,5,bootstrap_SPA,B,0.0859376292599
1000,3,3,0.05,6,Geo_NMF,Theta,0.0863711610324
1000,3,3,0.05,6,Geo_NMF,B,0.163375191826
1000,3,3,0.05,6,basic_SPA,Theta,0.0997900741651
1000,3,3,0.05,6,basic_SPA,B,0.200283487334
1000,3,3,0.05,6,bootstrap_SPA,Theta,0.0814292440181
1000,3,3,0.05,6,bootstrap_SPA,B,0.11984002828
1000,3,3,0.05,7,Geo_NMF,Theta,0.0841835469028
1000,3,3,0.05,7,Geo_NMF,B,0.159189292397
