n_nodes,n_clusters,pure_nodes_number,rho,seed,method,matrix,error
1000,3,3,0.2,3,SPOC_bootstrap,B,1.35016259796
1000,3,3,0.2,3,SPOC,Theta,0.215194821579
1000,3,3,0.2,3,SPOC,B,1.14735245061
1000,3,3,0.2,3,GeoNMF,Theta,0.146141082483
1000,3,3,0.2,3,GeoNMF,B,1.2780124009
1000,3,3,0.2,4,SPOC_bootstrap,Theta,0.190727883176
1000,3,3,0.2,4,SPOC_bootstrap,B,1.28627152258
1000,3,3,0.2,4,SPOC,Theta,0.228177531153
1000,3,3,0.2,4,SPOC,B,1.11578737081
1000,3,3,0.2,4,GeoNMF,Theta,0.155472964034
1000,3,3,0.2,4,GeoNMF,B,1.27184510452
1000,3,3,0.2,5,SPOC_bootstrap,Theta,0.183323510637
1000,3,3,0.2,5,SPOC_bootstrap,B,1.30721237916
1000,3,3,0.2,5,SPOC,Theta,0.241297641458
1000,3,3,0.2,5,SPOC,B,1.09980763036
1000,3,3,0.2,5,GeoNMF,Theta,0.165053260185
1000,3,3,0.2,5,GeoNMF,B,1.18211913392
1000,3,3,0.2,6,SPOC_bootstrap,Theta,0.170914068072
1000,3,3,0.2,6,SPOC_bootstrap,B,1.34667054231
1000,3,3,0.2,6,SPOC,Theta,0.234738935563
1000,3,3,0.2,6,SPOC,B,1.11256257775
1000,3,3,0.2,6,GeoNMF,Theta,0.162310431971
1000,3,3,0.2,6,GeoNMF,B,1.26098517823
1000,3,3,0.2,7,SPOC_bootstrap,Theta,0.175138594259
1000,3,3,0.2,7,SPOC_bootstrap,B,1.30914861885
1000,3,3,0.2,7,SPOC,Theta,0.243417880754
1000,3,3,0.2,7,SPOC,B,1.08850874626
1000,3,3,0.2,7,GeoNMF,Theta,0.15226216535
1000,3,3,0.2,7,GeoNMF,B,1.22817437877
1000,3,3,0.2,8,SPOC_bootstrap,Theta,0.179761239467
1000,3,3,0.2,8,SPOC_bootstrap,B,1.33445681421
1000,3,3,0.2,8,SPOC,Theta,0.227574090269
1000,3,3,0.2,8,SPOC,B,1.14715843498
1000,3,3,0.2,8,GeoNMF,Theta,0.171743472342
1000,3,3,0.2,8,GeoNMF,B,1.26310234162
1000,3,3,0.2,9,SPOC_bootstrap,Theta,0.168724907095
1000,3,3,0.2,9,SPOC_bootstrap,B,1.35287029841
1000,3,3,0.2,9,SPOC,Theta,0.21911375199
1000,3,3,0.2,9,SPOC,B,1.17215456807
1000,3,3,0.2,9,GeoNMF,Theta,0.162822555369
1000,3,3,0.2,9,GeoNMF,B,1.2494788119
1000,3,3,0.3,0,SPOC_bootstrap,Theta,0.128232024905
1000,3,3,0.3,0,SPOC_bootstrap,B,1.17433508306
1000,3,3,0.3,0,SPOC,Theta,0.173167638779
1000,3,3,0.3,0,SPOC,B,0.991702676813
1000,3,3,0.3,0,GeoNMF,Theta,0.122193901268
1000,3,3,0.3,0,GeoNMF,B,1.11396412494
1000,3,3,0.3,1,SPOC_bootstrap,Theta,0.122738328754
1000,3,3,0.3,1,SPOC_bootstrap,B,1.19344542164
1000,3,3,0.3,1,SPOC,Theta,0.161714159081
1000,3,3,0.3,1,SPOC,B,1.0070578452
1000,3,3,0.3,1,GeoNMF,Theta,0.133482481211
1000,3,3,0.3,1,GeoNMF,B,1.16213299695
1000,3,3,0.3,2,SPOC_bootstrap,Theta,0.141657374214
1000,3,3,0.3,2,SPOC_bootstrap,B,1.19024540217
1000,3,3,0.3,2,SPOC,Theta,0.176094009896
1000,3,3,0.3,2,SPOC,B,0.983162530787
1000,3,3,0.3,2,GeoNMF,Theta,0.118258588365
1000,3,3,0.3,2,GeoNMF,B,1.14477292537
1000,3,3,0.3,3,SPOC_bootstrap,Theta,0.126942175474
1000,3,3,0.3,3,SPOC_bootstrap,B,1.2195647857
1000,3,3,0.3,3,SPOC,Theta,0.160833728958
1000,3,3,0.3,3,SPOC,B,0.984927248263
1000,3,3,0.3,3,GeoNMF,Theta,0.118462679843
1000,3,3,0.3,3,GeoNMF,B,1.1212145805
1000,3,3,0.3,4,SPOC_bootstrap,Theta,0.136015313645
1000,3,3,0.3,4,SPOC_bootstrap,B,1.14580473202
1000,3,3,0.3,4,SPOC,Theta,0.167979595802
1000,3,3,0.3,4,SPOC,B,0.980339647502
1000,3,3,0.3,4,GeoNMF,Theta,0.120467261655
1000,3,3,0.3,4,GeoNMF,B,1.15202324813
1000,3,3,0.3,5,SPOC_bootstrap,Theta,0.154401092995
1000,3,3,0.3,5,SPOC_bootstrap,B,1.16537612263
1000,3,3,0.3,5,SPOC,Theta,0.194530847021
1000,3,3,0.3,5,SPOC,B,0.918242453367
1000,3,3,0.3,5,GeoNMF,Theta,0.136992758511
1000,3,3,0.3,5,GeoNMF,B,1.03645694588
1000,3,3,0.3,6,SPOC_bootstrap,Theta,0.132968907229
1000,3,3,0.3,6,SPOC_bootstrap,B,1.15576330881
1000,3,3,0.3,6,SPOC,Theta,0.18526779022
1000,3,3,0.3,6,SPOC,B,0.911140051875
1000,3,3,0.3,6,GeoNMF,Theta,0.132504741864
1000,3,3,0.3,6,GeoNMF,B,1.12518238918
1000,3,3,0.3,7,SPOC_bootstrap,Theta,0.173517984378
1000,3,3,0.3,7,SPOC_bootstrap,B,1.04261007072
1000,3,3,0.3,7,SPOC,Theta,0.197958656349
1000,3,3,0.3,7,SPOC,B,0.887350656097
1000,3,3,0.3,7,GeoNMF,Theta,0.123658989099
1000,3,3,0.3,7,GeoNMF,B,1.09605595821
1000,3,3,0.3,8,SPOC_bootstrap,Theta,0.13502729121
1000,3,3,0.3,8,SPOC_bootstrap,B,1.18462205859
1000,3,3,0.3,8,SPOC,Theta,0.180098598163
1000,3,3,0.3,8,SPOC,B,0.958265729244
1000,3,3,0.3,8,GeoNMF,Theta,0.129530206561
1000,3,3,0.3,8,GeoNMF,B,1.09628553998
1000,3,3,0.3,9,SPOC_bootstrap,Theta,0.143172720315
1000,3,3,0.3,9,SPOC_bootstrap,B,1.18151480974
1000,3,3,0.3,9,SPOC,Theta,0.185732080834
1000,3,3,0.3,9,SPOC,B,0.960579077729
1000,3,3,0.3,9,GeoNMF,Theta,0.137519010391
1000,3,3,0.3,9,GeoNMF,B,1.08923063322
1000,3,3,0.4,0,SPOC_bootstrap,Theta,0.111459853324
1000,3,3,0.4,0,SPOC_bootstrap,B,1.06626291066
1000,3,3,0.4,0,SPOC,Theta,0.139577611033
1000,3,3,0.4,0,SPOC,B,0.794771198488
1000,3,3,0.4,0,GeoNMF,Theta,0.112557726258
