n_nodes,n_clusters,pure_nodes_number,alpha,seed,method,matrix,error
1000,3,3,4.0,3,Geo_NMF,Theta,0.20057235809
1000,3,3,4.0,3,Geo_NMF,B,0.211272560181
1000,3,3,4.0,3,basic_SPA,Theta,0.201417145259
1000,3,3,4.0,3,basic_SPA,B,0.120891444461
1000,3,3,4.0,3,bootstrap_SPA,Theta,0.221435130961
1000,3,3,4.0,3,bootstrap_SPA,B,0.341495193521
1000,3,3,4.0,4,Geo_NMF,Theta,0.212063934655
1000,3,3,4.0,4,Geo_NMF,B,0.183627687778
1000,3,3,4.0,4,basic_SPA,Theta,0.216765316496
1000,3,3,4.0,4,basic_SPA,B,0.214821790401
1000,3,3,4.0,4,bootstrap_SPA,Theta,0.247757360824
1000,3,3,4.0,4,bootstrap_SPA,B,0.361845563759
1000,3,3,4.0,5,Geo_NMF,Theta,0.227338812256
1000,3,3,4.0,5,Geo_NMF,B,0.183547368348
1000,3,3,4.0,5,basic_SPA,Theta,0.218965996976
1000,3,3,4.0,5,basic_SPA,B,0.316491752947
1000,3,3,4.0,5,bootstrap_SPA,Theta,0.227274970376
1000,3,3,4.0,5,bootstrap_SPA,B,0.35968547478
1000,3,3,4.0,6,Geo_NMF,Theta,0.200623712332
1000,3,3,4.0,6,Geo_NMF,B,0.164470459748
1000,3,3,4.0,6,basic_SPA,Theta,0.208337332957
1000,3,3,4.0,6,basic_SPA,B,0.277611020863
1000,3,3,4.0,6,bootstrap_SPA,Theta,0.235700970263
1000,3,3,4.0,6,bootstrap_SPA,B,0.383806075079
1000,3,3,4.0,7,Geo_NMF,Theta,0.23044841061
1000,3,3,4.0,7,Geo_NMF,B,0.083838425395
1000,3,3,4.0,7,basic_SPA,Theta,0.217904382858
1000,3,3,4.0,7,basic_SPA,B,0.150395099046
1000,3,3,4.0,7,bootstrap_SPA,Theta,0.240520060646
1000,3,3,4.0,7,bootstrap_SPA,B,0.28983077404
1000,3,3,4.0,8,Geo_NMF,Theta,0.217049492261
1000,3,3,4.0,8,Geo_NMF,B,0.198998009873
1000,3,3,4.0,8,basic_SPA,Theta,0.187480649505
1000,3,3,4.0,8,basic_SPA,B,0.155424700799
1000,3,3,4.0,8,bootstrap_SPA,Theta,0.240655775622
1000,3,3,4.0,8,bootstrap_SPA,B,0.387002702256
1000,3,3,4.0,9,Geo_NMF,Theta,0.200922414741
1000,3,3,4.0,9,Geo_NMF,B,0.168555338082
1000,3,3,4.0,9,basic_SPA,Theta,0.20033478589
1000,3,3,4.0,9,basic_SPA,B,0.26199874149
1000,3,3,4.0,9,bootstrap_SPA,Theta,0.216650117662
1000,3,3,4.0,9,bootstrap_SPA,B,0.352639078838
