n_nodes,n_clusters,pure_nodes_number,eps,seed,method,matrix,error
1000,3,3,0.1,4,bootstrap_SPA,Theta,0.874464744363
1000,3,3,0.1,4,bootstrap_SPA,B,0.350457540661
1000,3,3,0.1,5,Geo_NMF,Theta,0.824877789164
1000,3,3,0.1,5,Geo_NMF,B,0.459590963191
1000,3,3,0.1,5,basic_SPA,Theta,0.791638257954
1000,3,3,0.1,5,basic_SPA,B,0.680772326613
1000,3,3,0.1,5,bootstrap_SPA,Theta,0.85306414917
1000,3,3,0.1,5,bootstrap_SPA,B,0.572539939457
1000,3,3,0.1,6,Geo_NMF,Theta,0.87529530126
1000,3,3,0.1,6,Geo_NMF,B,0.387610965071
1000,3,3,0.1,6,basic_SPA,Theta,0.819390237828
1000,3,3,0.1,6,basic_SPA,B,0.565262842528
1000,3,3,0.1,6,bootstrap_SPA,Theta,0.891022888481
1000,3,3,0.1,6,bootstrap_SPA,B,0.308308730746
1000,3,3,0.1,7,Geo_NMF,Theta,0.831372757041
1000,3,3,0.1,7,Geo_NMF,B,0.446630453378
1000,3,3,0.1,7,basic_SPA,Theta,0.805210594924
1000,3,3,0.1,7,basic_SPA,B,0.575413411956
1000,3,3,0.1,7,bootstrap_SPA,Theta,0.874001502049
1000,3,3,0.1,7,bootstrap_SPA,B,0.325814062541
1000,3,3,0.1,8,Geo_NMF,Theta,0.81518940365
1000,3,3,0.1,8,Geo_NMF,B,0.587670928416
1000,3,3,0.1,8,basic_SPA,Theta,0.811748047952
1000,3,3,0.1,8,basic_SPA,B,0.630894371266
1000,3,3,0.1,8,bootstrap_SPA,Theta,0.876260572752
1000,3,3,0.1,8,bootstrap_SPA,B,0.381474396488
1000,3,3,0.1,9,Geo_NMF,Theta,0.935315839599
1000,3,3,0.1,9,Geo_NMF,B,0.298086982746
1000,3,3,0.1,9,basic_SPA,Theta,0.83316639389
1000,3,3,0.1,9,basic_SPA,B,0.57675540313
1000,3,3,0.1,9,bootstrap_SPA,Theta,0.914292711299
1000,3,3,0.1,9,bootstrap_SPA,B,0.355106648993
1000,3,3,0.15,0,Geo_NMF,Theta,0.864845059328
1000,3,3,0.15,0,Geo_NMF,B,0.558470396716
1000,3,3,0.15,0,basic_SPA,Theta,0.855186520386
1000,3,3,0.15,0,basic_SPA,B,0.791560614512
1000,3,3,0.15,0,bootstrap_SPA,Theta,0.886831540309
1000,3,3,0.15,0,bootstrap_SPA,B,0.45819481122
1000,3,3,0.15,1,Geo_NMF,Theta,0.851268308364
1000,3,3,0.15,1,Geo_NMF,B,0.554510949877
1000,3,3,0.15,1,basic_SPA,Theta,0.824906958193
1000,3,3,0.15,1,basic_SPA,B,0.64301297495
1000,3,3,0.15,1,bootstrap_SPA,Theta,0.889408337982
1000,3,3,0.15,1,bootstrap_SPA,B,0.398355010905
1000,3,3,0.15,2,Geo_NMF,Theta,0.821664693339
1000,3,3,0.15,2,Geo_NMF,B,0.700113126834
1000,3,3,0.15,2,basic_SPA,Theta,0.806581403042
1000,3,3,0.15,2,basic_SPA,B,0.726125013115
1000,3,3,0.15,2,bootstrap_SPA,Theta,0.866773255781
1000,3,3,0.15,2,bootstrap_SPA,B,0.503471746141
1000,3,3,0.15,3,Geo_NMF,Theta,0.834397178352
1000,3,3,0.15,3,Geo_NMF,B,0.621426694353
1000,3,3,0.15,3,basic_SPA,Theta,0.819234542862
1000,3,3,0.15,3,basic_SPA,B,0.63487511639
1000,3,3,0.15,3,bootstrap_SPA,Theta,0.878642342037
1000,3,3,0.15,3,bootstrap_SPA,B,0.431076402064
1000,3,3,0.15,4,Geo_NMF,Theta,0.825752572632
1000,3,3,0.15,4,Geo_NMF,B,0.551075502926
1000,3,3,0.15,4,basic_SPA,Theta,0.810522079082
1000,3,3,0.15,4,basic_SPA,B,0.673286574131
1000,3,3,0.15,4,bootstrap_SPA,Theta,0.873223789189
1000,3,3,0.15,4,bootstrap_SPA,B,0.418955829867
